,Feature (Non-subtweet),Log Probability (Non-subtweet),Feature (Subtweet),Log Probability (Subtweet)
4469,% men .,-12.969525092978847,shift,-12.383857977585553
4470,% menuuu,-12.969525092978847,narrative,-12.383923826205448
4471,% menuuu -,-12.969525092978847,people saying,-12.384019971205765
4472,% mobile,-12.969525092978847,bass,-12.384052496039471
4473,% mobile downloads,-12.969525092978847,trans girls,-12.384187373683869
4474,% money,-12.969525092978847,i'm pretty sure,-12.384302878645173
4475,% money .,-12.969525092978847,pipe,-12.384354488446384
4476,% morning,-12.969525092978847,people read,-12.384386879752837
4477,% morning 30,-12.969525092978847,failed .,-12.384424172441225
4478,% oil-money,-12.969525092978847,hobby,-12.384571329441965
4479,% oil-money projects,-12.969525092978847,people . just,-12.384601197204644
4480,% opposed,-12.969525092978847,hangs,-12.38472997561792
4481,% opposed intervention,-12.969525092978847,🙁,-12.384810889962663
4482,% p,-12.969525092978847,read tweets,-12.384830773792512
4483,% p .,-12.969525092978847,shoe fits,-12.384834967025483
4484,% pay,-12.969525092978847,🌚,-12.384976162288618
4485,% pay equity,-12.969525092978847,music .,-12.385147870354075
4486,% penn,-12.969525092978847,yrs,-12.385228526153703
4487,% penn state's,-12.969525092978847,fyi,-12.385316059281248
4488,% people live,-12.969525092978847,blind,-12.385421702752836
4489,% pet,-12.969525092978847,rapists,-12.385537699974403
4490,% pet owners,-12.969525092978847,"talking ,",-12.385556834589462
4491,% population does,-12.969525092978847,fuck okay,-12.385813853748623
4492,% potential,-12.969525092978847,i'm stupid,-12.385835807337921
4493,% potential revenues,-12.969525092978847,cryptic,-12.385959825733627
4494,% production,-12.969525092978847,like you're,-12.386067386602912
4495,% production 15,-12.969525092978847,focused,-12.386150390649986
4496,% puerto,-12.969525092978847,setting,-12.386172625203017
4497,% puerto w,-12.969525092978847,70,-12.38617652730351
4498,% purchase,-12.969525092978847,pockets,-12.386193375483614
4499,% purchase xbox,-12.969525092978847,absolutely !,-12.386195442410946
4500,% reason kind,-12.969525092978847,represent,-12.386298934870952
4501,% service,-12.969525092978847,glass,-12.386349413948619
4502,% service fee,-12.969525092978847,time i'm,-12.386354299930506
4503,% singles,-12.969525092978847,spoken,-12.386490337485812
4504,% singles talk,-12.969525092978847,"hate """,-12.386492858234496
4505,% straight,-12.969525092978847,""" hi",-12.386511619609799
4506,% straight thooo,-12.969525092978847,financially,-12.386519844525465
4507,"% sure ,",-12.969525092978847,freaking,-12.386588423291938
4508,% talent,-12.969525092978847,captain,-12.386611010045321
4509,% talent 100,-12.969525092978847,linkedin,-12.386720099958955
4510,% things,-12.969525092978847,spoiled,-12.386734223005234
4511,% things draw,-12.969525092978847,i'm bad,-12.386923869125782
4512,% time can't,-12.969525092978847,i'm tired .,-12.387153099373037
4513,% trump,-12.969525092978847,getting old,-12.387307588446514
4514,% trump bragged,-12.969525092978847,sorry friend,-12.387411765725584
4515,% u,-12.969525092978847,bombing,-12.38746851889142
4516,% u .,-12.969525092978847,wtf .,-12.387594673311753
4517,% upgrading,-12.969525092978847,friend's,-12.387744176604643
4518,% upgrading home,-12.969525092978847,& i'm,-12.387770424175626
4519,% vibe,-12.969525092978847,best way,-12.387773746729858
4520,% vibe i'm,-12.969525092978847,24 hours,-12.387899717998929
4521,% visible,-12.969525092978847,shit ?,-12.387974846672892
4522,% visible minorities,-12.969525092978847,habit,-12.387976146279366
4523,% way,-12.969525092978847,! ),-12.388086088852983
4524,% way target,-12.969525092978847,. nice,-12.388387103503756
4525,% women,-12.969525092978847,. feel like,-12.388429066596052
4526,"% women ,",-12.969525092978847,seven,-12.388463201864864
4527,% ww2,-12.969525092978847,houses,-12.388466735469317
4528,"% ww2 ,",-12.969525092978847,word !,-12.38848269297602
4529,% wwii,-12.969525092978847,section,-12.388559666222287
4530,% wwii players,-12.969525092978847,. stay,-12.388754695322655
4531,% yoy,-12.969525092978847,2-3,-12.388800701736448
4532,% yoy ),-12.969525092978847,""" time",-12.388862409814626
4533,% 👍,-12.969525092978847,dare ...,-12.389027330273182
4534,& !,-12.969525092978847,suck ass,-12.389029870481401
4535,& ! cheers,-12.969525092978847,wonder you're,-12.389102154817442
4536,& ! watch,-12.969525092978847,"ignorant ,",-12.389164411140786
4537,"& "" frightening",-12.969525092978847,. feels,-12.389169795511714
4538,"& "" seating",-12.969525092978847,ppl don't,-12.389239737201573
4539,"& "" wolf",-12.969525092978847,correctly,-12.389253490358463
4540,& $,-12.969525092978847,"honestly ,",-12.389323748794231
4541,& $ life,-12.969525092978847,life ?,-12.389557568293533
4542,& & &,-12.969525092978847,oh fun,-12.389732253231823
4543,& & ..,-12.969525092978847,dollar store,-12.38975807139253
4544,& & share,-12.969525092978847,plz,-12.389762597986248
